name,taxon,status_species,spending,region_num,priority,priority_threat,priority_potential,priority_rarity,conflict,ngenus,CommonNameFlag,ngrams_science,ngrams_common
NA,Plants,NA,2579.876,1,2,3,2,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,2579.876,1,2,3,2,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,6502.894,1,5,3,1,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,591.1722,1,17,1,1,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,5320.55,1,5,3,1,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,5320.55,1,5,3,1,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,5911.722,1,8,2,2,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,6502.894,1,5,3,1,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,5320.55,1,5,3,1,2,0,NA,0,-0.1638258,-0.122832
NA,Plants,NA,5320.55,1,5,3,1,2,0,NA,0,-0.1638258,-0.122832
Oncorhynchus clarkii stomias,Fishes,2,411116.8,1,15,1,2,1,0,15,1,-0.1638258,0.002950167
Balaena mysticetus,Mammals,2,2316470,NA,7,2,2,3,NA,1,0,2.782996,3.7443939999999998
Gambusia georgei,Fishes,Extinct,569.2058,1,2,3,2,2,1,43,0,-0.1271318,-0.1120948
Plestiodon reynoldsi,Reptiles,2,171213.7,1,1,3,2,3,1,NA,1,-0.1638258,-0.05804167
Lepidochelys kempii,Reptiles,1,5599189,3,2,3,2,2,NA,2,0,-0.1638258,-0.122832
Chasmistes liorus,Fishes,2,741219.7,1,5,3,1,2,1,5,0,0.02953579,0.168144
Etheostoma nuchale,Fishes,1,2262.024,1,2,3,2,2,0,145,0,-0.1402245,-0.1068465
Pristis pectinata,Fishes,UNK,228966.4,NA,7,2,2,3,NA,11,0,0.510768,0.04086655
Crotalus willardi obscurus,Reptiles,1,330765.5,1,3,3,2,1,0,44,0,-0.1638258,-0.122832
Brachyramphus marmoratus,Birds,3,5487296,2,2,3,2,2,1,3,0,1.111215,1.084255
Noturus trautmani,Fishes,Extinct,569.2058,1,5,3,1,2,0,28,0,-0.1114863,-0.1102102
Rhinichthys cobitis,Fishes,2,1387581,1,4,3,1,3,1,9,1,-0.1457385,-0.04620833
